planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8580,K,4768.950606007822,7.823919997204073,2.1185768859808154,48.20986946576083,308.7191757782625,False,reduced_o2_high_ch4,0.11612466782088506,9.946822362122404,0.001,10,190.8981364377703,True,20.20818873848379,7.200392999258399
8580,K,4768.950606007822,7.823919997204073,2.1185768859808154,48.20986946576083,308.7191757782625,False,reduced_o2_high_ch4,0.11612466782088506,9.946822362122404,0.001,20,192.01846410916562,True,20.104346193237426,7.200392999258399
8581,K,4265.17825224368,7.981903557660996,1.115489316725541,46.006038274335694,871.6716814395382,False,earth_like,0.27074602760598526,9.771903337249352,1.0,5,40.678405178069795,True,21.921947518274337,1.7713636572004003
8581,K,4265.17825224368,7.981903557660996,1.115489316725541,46.006038274335694,871.6716814395382,False,earth_like,0.27074602760598526,9.771903337249352,1.0,10,42.310432695221934,True,20.9829905580721,1.7713636572004003
8581,K,4265.17825224368,7.981903557660996,1.115489316725541,46.006038274335694,871.6716814395382,False,earth_like,0.27074602760598526,9.771903337249352,1.0,20,43.243795972262525,True,20.497049677137618,1.7713636572004003
8582,K,3739.279846891839,6.52536070382715,1.3873575439703347,19.933417407184393,286.1015116730604,False,abiotic_o2,0.3530780764630916,6.514494528101043,1000.0,5,14.088765688799839,True,20.276265654992436,3.3828641655314104
8582,K,3739.279846891839,6.52536070382715,1.3873575439703347,19.933417407184393,286.1015116730604,False,abiotic_o2,0.3530780764630916,6.514494528101043,1000.0,10,14.345029190257662,True,20.13850671553712,3.3828641655314104
8582,K,3739.279846891839,6.52536070382715,1.3873575439703347,19.933417407184393,286.1015116730604,False,abiotic_o2,0.3530780764630916,6.514494528101043,1000.0,20,14.48001650084048,True,20.06934782273671,3.3828641655314104
8583,K,4015.2838450571153,7.985565929989488,2.4518813288609325,42.88560726979062,229.73218782031856,True,reduced_o2_high_ch4,0.05600026177818829,10.447335641768877,0.001,5,356.6631030936006,True,20.636500820286955,5.570268243743406
8583,K,4015.2838450571153,7.985565929989488,2.4518813288609325,42.88560726979062,229.73218782031856,True,reduced_o2_high_ch4,0.05600026177818829,10.447335641768877,0.001,10,362.0356431559356,True,20.320742680790786,5.570268243743406
8583,K,4015.2838450571153,7.985565929989488,2.4518813288609325,42.88560726979062,229.73218782031856,True,reduced_o2_high_ch4,0.05600026177818829,10.447335641768877,0.001,20,364.8655874346516,True,20.160973998832226,5.570268243743406
8584,M,3115.1396224232044,11.219064296990792,1.8,49.70155934996739,120.39451646481929,False,hycean,0.22772833109794524,10.805396202829641,0.002,5,1393.5954379210061,True,33.9636132427935,3.6670879149266393
8584,M,3115.1396224232044,11.219064296990792,1.8,49.70155934996739,120.39451646481929,False,hycean,0.22772833109794524,10.805396202829641,0.002,10,1652.9425289949868,True,27.870501763597716,3.6670879149266393
8584,M,3115.1396224232044,11.219064296990792,1.8,49.70155934996739,120.39451646481929,False,hycean,0.22772833109794524,10.805396202829641,0.002,20,1861.9588590603037,True,24.256609388649935,3.6670879149266393
